,artists,track_title,release,date_pulled,chart_rank
0,['Sebastien Leger'],Lanarka,2/25/19,4/8/19,1
1,"['CamelPhat', 'Jem Cooke', 'Cristoph']",Breathe,11/16/18,4/8/19,2
2,"['CASSIMM', 'Chus & Ceballos']",Dances with Wolves,2/1/19,4/8/19,3
3,"['Aneesh Gera', 'Paul Thomas', 'White-Akre']",Solace,3/1/19,4/8/19,4
4,"['Matan Caspi', ""E'sh""]",Eidothea,3/18/19,4/8/19,5
5,['Applescal'],Saints,2/22/19,4/8/19,6
6,"['Diana Miro', '8Kays', 'Jerome Isma-Ae']",Inside feat. Diana Miro,3/11/19,4/8/19,7
7,['BLR'],Méduse,3/22/19,4/8/19,8
8,"['Avasono', 'Ziger']",Riells,3/11/19,4/8/19,9
9,"['NekliFF', 'Rafael Cerato', 'Kasper Koman']",Marrakesh,2/25/19,4/8/19,10
10,['Stan Kolev'],Fury,4/1/19,4/8/19,11
11,['Paul Thomas'],Allegro,3/22/19,4/8/19,12
12,['Budakid'],A Molton Arrow,3/25/19,4/8/19,13
13,['Stan Kolev'],Inscape,12/24/18,4/8/19,14
14,"['IKARIUS', 'Pavel Petrov']",Time,3/1/19,4/8/19,15
15,"['Darin Epsilon', 'Marc DePulse']",Anamorphosis,3/29/19,4/8/19,16
16,['Stan Kolev'],Selcouth,3/18/19,4/8/19,17
17,"['Formel', 'Ziger']",Unawatuna,3/25/19,4/8/19,18
18,['Space Motion'],Epic,10/29/18,4/8/19,19
19,"['Budakid', 'Zweers']",Estersveld feat. Zweers,3/25/19,4/8/19,20
20,['Cid Inc.'],Turning Pages,3/25/19,4/8/19,21
21,"['Motel Sazani', 'Monastetiq']",E Ke Keq Aty,4/1/19,4/8/19,22
22,['Cid Inc.'],Via Karelia,3/25/19,4/8/19,23
23,['Stas Drive'],Getaria,4/1/19,4/8/19,24
24,['Stan Kolev'],Crossroads,3/22/19,4/8/19,25
25,"['Beckers', 'D-Nox', 'Navar']",Polyacid,2/11/19,4/8/19,26
26,['Avoure'],Aura,11/29/18,4/8/19,27
27,['King & Early'],Moving Forward,3/8/19,4/8/19,28
28,"['Luke Mandala', 'Bizio', 'Antrim']",Mother of Dragons,3/22/19,4/8/19,29
29,['Marcus Meinhardt'],Bamboo,6/29/18,4/8/19,30
30,"[""Rafa'EL"", 'Black 8']",Revival,4/1/19,4/8/19,31
31,"['Remcord', 'Donamaria']",Follow The Light,4/1/19,4/8/19,32
32,"['Kamilo Sanclemente', 'Andre Moret', 'Arnas D']",Acacias,4/1/19,4/8/19,33
33,"['Sebastian Sellares', 'Simply City']",Epiphany in the Woods,3/25/19,4/8/19,34
34,"['Virtual Self', 'Lane 8']",Ghost Voices,2/12/19,4/8/19,35
35,"['Antrim', 'Black 8']",Experiments,2/25/19,4/8/19,36
